countrycode,language,isofficial,percentage
AFG,Pashto,True,52.4
NLD,Dutch,True,95.6
ANT,Papiamento,True,86.2
ALB,Albaniana,True,97.9
DZA,Arabic,True,86.0
ASM,Samoan,True,90.6
AND,Spanish,False,44.6
AGO,Ovimbundu,False,37.2
AIA,English,True,0.0
ATG,Creole English,False,95.7
ARE,Arabic,True,42.0
ARG,Spanish,True,96.8
ARM,Armenian,True,93.4
ABW,Papiamento,False,76.7
AUS,English,True,81.2
AZE,Azerbaijani,True,89.0
BHS,Creole English,False,89.7
BHR,Arabic,True,67.7
BGD,Bengali,True,97.7
BRB,Bajan,False,95.1
BEL,Dutch,True,59.2
BLZ,English,True,50.8
BEN,Fon,False,39.8
BMU,English,True,100.0
BTN,Dzongkha,True,50.0
BOL,Spanish,True,87.7
BIH,Serbo-Croatian,True,99.2
BWA,Tswana,False,75.5
BRA,Portuguese,True,97.5
GBR,English,True,97.3
VGB,English,True,0.0
BRN,Malay,True,45.5
BGR,Bulgariana,True,83.2
BFA,Mossi,False,50.2
BDI,Kirundi,True,98.1
CYM,English,True,0.0
CHL,Spanish,True,89.7
COK,Maori,True,0.0
CRI,Spanish,True,97.5
DJI,Somali,False,43.9
DMA,Creole English,False,100.0
DOM,Spanish,True,98.0
ECU,Spanish,True,93.0
EGY,Arabic,True,98.8
SLV,Spanish,True,100.0
ERI,Tigrinja,True,49.1
ESP,Spanish,True,74.4
ZAF,Zulu,True,22.7
ETH,Oromo,False,31.0
FLK,English,True,0.0
FJI,Fijian,True,50.8
PHL,Pilipino,True,29.3
FRO,Faroese,True,100.0
GAB,Fang,False,35.8
GMB,Malinke,False,34.1
GEO,Georgiana,True,71.7
GHA,Akan,False,52.4
GIB,English,True,88.9
GRD,Creole English,False,100.0
GRL,Greenlandic,True,87.5
GLP,Creole French,False,95.0
GUM,English,True,37.5
GTM,Spanish,True,64.7
GIN,Ful,False,38.6
GNB,Crioulo,False,36.4
GUY,Creole English,False,96.4
HTI,Haiti Creole,False,100.0
HND,Spanish,True,97.2
HKG,Canton Chinese,False,88.7
SJM,Norwegian,True,0.0
IDN,Javanese,False,39.4
IND,Hindi,True,39.9
IRQ,Arabic,True,77.2
IRN,Persian,True,45.7
IRL,English,True,98.4
ISL,Icelandic,True,95.7
ISR,Hebrew,True,63.1
ITA,Italian,True,94.1
TMP,Sunda,False,0.0
AUT,German,True,92.0
JAM,Creole English,False,94.2
JPN,Japanese,True,99.1
YEM,Arabic,True,99.6
JOR,Arabic,True,97.9
CXR,Chinese,False,0.0
YUG,Serbo-Croatian,True,75.2
KHM,Khmer,True,88.6
CMR,Fang,False,19.7
CAN,English,True,60.4
CPV,Crioulo,False,100.0
KAZ,Kazakh,True,46.0
KEN,Kikuyu,False,20.9
CAF,Gbaya,False,23.8
CHN,Chinese,True,92.0
KGZ,Kirgiz,True,59.7
KIR,Kiribati,True,98.9
COL,Spanish,True,99.0
COM,Comorian,True,75.0
COG,Kongo,False,51.5
COD,Luba,False,18.0
CCK,Malay,False,0.0
PRK,Korean,True,99.9
KOR,Korean,True,99.9
GRC,Greek,True,98.5
HRV,Serbo-Croatian,True,95.9
CUB,Spanish,True,100.0
KWT,Arabic,True,78.1
CYP,Greek,True,74.1
LAO,Lao,True,67.2
LVA,Latvian,True,55.1
LSO,Sotho,True,85.0
LBN,Arabic,True,93.0
LBR,Kpelle,False,19.5
LBY,Arabic,True,96.0
LIE,German,True,89.0
LTU,Lithuanian,True,81.6
LUX,Luxembourgish,True,64.4
ESH,Arabic,True,100.0
MAC,Canton Chinese,False,85.6
MDG,Malagasy,True,98.9
MKD,Macedonian,True,66.5
MWI,Chichewa,True,58.3
MDV,Dhivehi,True,100.0
MYS,Malay,True,58.4
MLI,Bambara,False,31.8
MLT,Maltese,True,95.8
MAR,Arabic,True,65.0
MHL,Marshallese,True,96.8
MTQ,Creole French,False,96.6
MRT,Hassaniya,False,81.7
MUS,Creole French,False,70.6
MYT,Mahoré,False,41.9
MEX,Spanish,True,92.1
FSM,Trukese,False,41.6
MDA,Romanian,True,61.9
MCO,French,True,41.9
MNG,Mongolian,True,78.8
MSR,English,True,0.0
MOZ,Makua,False,27.8
MMR,Burmese,True,69.0
NAM,Ovambo,False,50.7
NRU,Nauru,True,57.5
NPL,Nepali,True,50.4
NIC,Spanish,True,97.6
NER,Hausa,False,53.1
NGA,Joruba,False,21.4
NIU,Niue,False,0.0
NFK,English,True,0.0
NOR,Norwegian,True,96.6
CIV,Akan,False,30.0
OMN,Arabic,True,76.7
PAK,Punjabi,False,48.2
PLW,Palau,True,82.2
PAN,Spanish,True,76.8
PNG,Papuan Languages,False,78.1
PRY,Spanish,True,55.1
PER,Spanish,True,79.8
PCN,Pitcairnese,False,0.0
MNP,Philippene Languages,False,34.1
PRT,Portuguese,True,99.0
PRI,Spanish,True,51.3
POL,Polish,True,97.6
GNQ,Fang,False,84.8
QAT,Arabic,True,40.7
FRA,French,True,93.6
GUF,Creole French,False,94.3
PYF,Tahitian,False,46.4
REU,Creole French,False,91.5
ROM,Romanian,True,90.7
RWA,Rwanda,True,100.0
SWE,Swedish,True,89.5
SHN,English,True,0.0
KNA,Creole English,False,100.0
LCA,Creole French,False,80.0
VCT,Creole English,False,99.1
SPM,French,True,0.0
DEU,German,True,91.3
SLB,Malenasian Languages,False,85.6
ZMB,Bemba,False,29.7
WSM,Samoan-English,False,52.0
SMR,Italian,True,100.0
STP,Crioulo,False,86.3
SAU,Arabic,True,95.0
SEN,Wolof,True,48.1
SYC,Seselwa,False,91.3
SLE,Mende,False,34.8
SGP,Chinese,True,77.1
SVK,Slovak,True,85.6
SVN,Slovene,True,87.9
SOM,Somali,True,98.3
LKA,Singali,True,60.3
SDN,Arabic,True,49.4
FIN,Finnish,True,92.7
SUR,Sranantonga,False,81.0
SWZ,Swazi,True,89.9
CHE,German,True,63.6
SYR,Arabic,True,90.0
TJK,Tadzhik,True,62.2
TWN,Min,False,66.7
TZA,Nyamwesi,False,21.1
DNK,Danish,True,93.5
THA,Thai,True,52.6
TGO,Ewe,True,23.2
TKL,Tokelau,False,0.0
TON,Tongan,True,98.3
TTO,English,False,93.5
TCD,Sara,False,27.7
CZE,Czech,True,81.2
TUN,Arabic,True,69.9
TUR,Turkish,True,87.6
TKM,Turkmenian,True,76.7
TCA,English,True,0.0
TUV,Tuvalu,True,92.5
UGA,Ganda,False,18.1
UKR,Ukrainian,True,64.7
HUN,Hungarian,True,98.5
URY,Spanish,True,95.7
NCL,Malenasian Languages,False,45.4
NZL,English,True,87.0
UZB,Uzbek,True,72.6
BLR,Belorussian,True,65.6
WLF,Wallis,False,0.0
VUT,Bislama,True,56.6
VAT,Italian,True,0.0
VEN,Spanish,True,96.9
RUS,Russian,True,86.6
VNM,Vietnamese,True,86.8
EST,Estonian,True,65.3
USA,English,True,86.2
VIR,English,True,81.7
UMI,English,True,0.0
ZWE,Shona,False,72.1
PSE,Arabic,False,95.9
AFG,Dari,True,32.1
NLD,Fries,False,3.7
ANT,English,False,7.8
ALB,Greek,False,1.8
DZA,Berberi,False,14.0
ASM,English,True,3.1
AND,Catalan,True,32.3
AGO,Mbundu,False,21.6
ATG,English,True,0.0
ARE,Hindi,False,0.0
ARG,Italian,False,1.7
ARM,Azerbaijani,False,2.6
ABW,English,False,9.5
AUS,Italian,False,2.2
AZE,Russian,False,3.0
BHS,Creole French,False,10.3
BHR,English,False,0.0
BGD,Chakma,False,0.4
BRB,English,True,0.0
BEL,French,True,32.6
BLZ,Spanish,False,31.6
BEN,Joruba,False,12.2
BTN,Nepali,False,34.8
BOL,Ketua,True,8.1
BWA,Shona,False,12.3
BRA,German,False,0.5
GBR,Kymri,False,0.9
BRN,Malay-English,False,28.8
BGR,Turkish,False,9.4
BFA,Ful,False,9.7
BDI,French,True,0.0
CHL,Araucan,False,9.6
COK,English,False,0.0
CRI,Creole English,False,2.0
DJI,Afar,False,34.8
DMA,Creole French,False,0.0
DOM,Creole French,False,2.0
ECU,Ketua,False,7.0
EGY,Sinaberberi,False,0.0
SLV,Nahua,False,0.0
ERI,Tigre,False,31.7
ESP,Catalan,False,16.9
ZAF,Xhosa,True,17.7
ETH,Amhara,False,30.0
FJI,Hindi,False,43.7
PHL,Cebuano,False,23.3
FRO,Danish,True,0.0
GAB,Punu-sira-nzebi,False,17.1
GMB,Ful,False,16.2
GEO,Russian,False,8.8
GHA,Mossi,False,15.8
GIB,Arabic,False,7.4
GRL,Danish,True,12.5
GLP,French,True,0.0
GUM,Chamorro,True,29.6
GTM,Quiché,False,10.1
GIN,Malinke,False,23.2
GNB,Ful,False,16.6
GUY,Caribbean,False,2.2
HTI,French,True,0.0
HND,Garifuna,False,1.3
HKG,English,True,2.2
SJM,Russian,False,0.0
IDN,Sunda,False,15.8
IND,Bengali,False,8.2
IRQ,Kurdish,False,19.0
IRN,Azerbaijani,False,16.8
IRL,Irish,True,1.6
ISL,English,False,0.0
ISR,Arabic,True,18.0
ITA,Sardinian,False,2.7
TMP,Portuguese,True,0.0
AUT,Serbo-Croatian,False,2.2
JAM,Hindi,False,1.9
JPN,Korean,False,0.5
YEM,Soqutri,False,0.0
JOR,Circassian,False,1.0
CXR,English,True,0.0
YUG,Albaniana,False,16.5
KHM,Vietnamese,False,5.5
CMR,Bamileke-bamum,False,18.6
CAN,French,True,23.4
CPV,Portuguese,True,0.0
KAZ,Russian,False,34.7
KEN,Luhya,False,13.8
CAF,Banda,False,23.5
CHN,Zhuang,False,1.4
KGZ,Russian,True,16.2
KIR,Tuvalu,False,0.5
COL,Chibcha,False,0.4
COM,Comorian-French,False,12.9
COG,Teke,False,17.3
COD,Kongo,False,16.0
CCK,English,True,0.0
PRK,Chinese,False,0.1
KOR,Chinese,False,0.1
GRC,Turkish,False,0.9
HRV,Slovene,False,0.0
KWT,English,False,0.0
CYP,Turkish,True,22.4
LAO,Mon-khmer,False,16.5
LVA,Russian,False,32.5
LSO,Zulu,False,15.0
LBN,Armenian,False,5.9
LBR,Bassa,False,13.7
LBY,Berberi,False,1.0
LIE,Italian,False,2.5
LTU,Russian,False,8.1
LUX,Portuguese,False,13.0
MAC,Portuguese,True,2.3
MDG,French,True,0.0
MKD,Albaniana,False,22.9
MWI,Lomwe,False,18.4
MDV,English,False,0.0
MYS,Chinese,False,9.0
MLI,Ful,False,13.9
MLT,English,True,2.1
MAR,Berberi,False,33.0
MHL,English,True,0.0
MTQ,French,True,0.0
MRT,Wolof,False,6.6
MUS,Bhojpuri,False,21.1
MYT,French,True,20.3
MEX,Náhuatl,False,1.8
FSM,Pohnpei,False,23.8
MDA,Russian,False,23.2
MCO,Monegasque,False,16.1
MNG,Kazakh,False,5.9
MOZ,Tsonga,False,12.4
MMR,Shan,False,8.5
NAM,Nama,False,12.4
NRU,Kiribati,False,17.9
NPL,Maithili,False,11.9
NIC,Miskito,False,1.6
NER,Songhai-zerma,False,21.2
NGA,Hausa,False,21.1
NIU,English,True,0.0
NOR,English,False,0.5
CIV,Gur,False,11.7
OMN,Balochi,False,0.0
PAK,Pashto,False,13.1
PLW,Philippene Languages,False,9.2
PAN,Creole English,False,14.0
PNG,Malenasian Languages,False,20.0
PRY,Guaraní,True,40.1
PER,Ketua,True,16.4
MNP,Chamorro,False,30.0
PRI,English,False,47.4
POL,German,False,1.3
GNQ,Bubi,False,8.7
QAT,Urdu,False,0.0
FRA,Arabic,False,2.5
GUF,Indian Languages,False,1.9
PYF,French,True,40.8
REU,Chinese,False,2.8
ROM,Hungarian,False,7.2
RWA,French,True,0.0
SWE,Finnish,False,2.4
KNA,English,True,0.0
LCA,English,True,20.0
VCT,English,True,0.0
DEU,Turkish,False,2.6
SLB,Papuan Languages,False,8.6
ZMB,Tongan,False,11.0
WSM,Samoan,True,47.5
STP,French,False,0.7
SEN,Ful,False,21.7
SYC,English,True,3.8
SLE,Temne,False,31.8
SGP,Malay,True,14.1
SVK,Hungarian,False,10.5
SVN,Serbo-Croatian,False,7.9
SOM,Arabic,True,0.0
LKA,Tamil,True,19.6
SDN,Dinka,False,11.5
FIN,Swedish,True,5.7
SUR,Hindi,False,0.0
SWZ,Zulu,False,2.0
CHE,French,True,19.2
SYR,Kurdish,False,9.0
TJK,Uzbek,False,23.2
TWN,Mandarin Chinese,True,20.1
TZA,Swahili,True,8.8
DNK,Turkish,False,0.8
THA,Lao,False,26.9
TGO,Kabyé,True,13.8
TKL,English,True,0.0
TON,English,True,0.0
TTO,Hindi,False,3.4
TCD,Arabic,True,12.3
CZE,Moravian,False,12.9
TUN,Arabic-French,False,26.3
TUR,Kurdish,False,10.6
TKM,Uzbek,False,9.2
TUV,Kiribati,False,7.5
UGA,Nkole,False,10.7
UKR,Russian,False,32.9
HUN,Romani,False,0.5
NCL,French,True,34.3
NZL,Maori,False,4.3
UZB,Russian,False,10.9
BLR,Russian,True,32.0
WLF,Futuna,False,0.0
VUT,English,True,28.3
VEN,Goajiro,False,0.4
RUS,Tatar,False,3.2
VNM,Tho,False,1.8
EST,Russian,False,27.8
USA,Spanish,False,7.5
VIR,Spanish,False,13.3
ZWE,Ndebele,False,16.2
PSE,Hebrew,False,4.1
AFG,Uzbek,False,8.8
NLD,Arabic,False,0.9
ANT,Dutch,True,0.0
ALB,Macedonian,False,0.1
ASM,Tongan,False,3.1
AND,Portuguese,False,10.8
AGO,Kongo,False,13.2
ARG,Indian Languages,False,0.3
ABW,Spanish,False,7.4
AUS,Greek,False,1.6
AZE,Lezgian,False,2.3
BGD,Marma,False,0.2
BEL,Italian,False,2.4
BLZ,Maya Languages,False,9.6
BEN,Adja,False,11.1
BTN,Asami,False,15.2
BOL,Aimará,True,3.2
BWA,San,False,3.5
BRA,Italian,False,0.4
GBR,Gaeli,False,0.1
BRN,Chinese,False,9.3
BGR,Romani,False,3.7
BFA,Gurma,False,5.7
BDI,Swahili,False,0.0
CHL,Aimará,False,0.5
CRI,Chibcha,False,0.3
DJI,Arabic,True,10.6
ERI,Afar,False,4.3
ESP,Galecian,False,6.4
ZAF,Afrikaans,True,14.3
ETH,Tigrinja,False,7.2
PHL,Ilocano,False,9.3
GAB,Mpongwe,False,14.6
GMB,Wolof,False,12.6
GEO,Armenian,False,6.8
GHA,Ewe,False,11.9
GUM,Philippene Languages,False,19.7
GTM,Cakchiquel,False,8.9
GIN,Susu,False,11.0
GNB,Balante,False,14.6
